bdR3p6PvYQQ|||The Secret Trick For Amazing Animations in Figma
40UAK-LKheA|||The UI/UX Wireframe Hack Schools Don’t Teach
7drmXMS8Jj8|||Make Your Figma Scroll Animation Real in 4 Minutes (Using Framer)
cocnZubvfFE|||4 Easy Tips For Stunning Landing Pages (Figma Tutorial)
s_GRc42EjNU|||Master Figma’s Sticky Scroll in 4 Minutes
evhZQg2NHfo|||6 Stunning Websites For UI/UX Inspiration
s19_n6rcXIY|||Splash Screen Animation in 6 Minutes (Figma Tutorial)
_n39rxieClg|||I Redesigned Midjourney’s Landing Page in 19 Minutes (Without AI)
_uva2dQPlV8|||Your First Design System in Figma (Beginner Tutorial)
GDjxXRLHEg4|||5 Figma Workflow Tips For UI Beginners
NfqdWTfNYKI|||3 Award Winning Website Animations (Figma Tutorial)
GVUchbe86HE|||Parallax Scroll Animation in 6 Minutes (Figma Tutorial)
0Lhu6kYOCx0|||How To Recreate AMAZING Text Animations in Figma
2Mvmz34QsLQ|||5 Most Useful Figma Animations For UI Beginners
tJCv91c6Krk|||Responsive Design in Figma: Crash Course 2023
TWumjDt_cZg|||Export Figma Text & Color Styles To Framer
XLWXztyA80Q|||From Figma to Framer (Get Started in 28 Minutes)
AJBaBScKdwI|||4 Tricks For Best Figma To Framer Export
oNhOh-e21Xg|||Fancy Button Hovers For Figma Beginners in 2023
j0KT9yaa-NI|||These 5 mistakes will RUIN your UI/UX portfolio
blDSmD5I61s|||Figma in 20 Minutes (For Beginners in 2023)
88XxC0_zs74|||6 UI Hacks I Wish I Knew As A Beginner
lgE0ULApU4E|||Become A Self Taught UI/UX Designer in 2023
IaFrUED28mo|||The UI Design Skill You NEED When AI Takes Over
nyyuyPSxqww|||How To Animate Like After Effects in Figma
m3NjcBDqFnA|||Steal This Landing Page Hero Workflow (Figma Tutorial)
BASF9O2_AFo|||How To Create Gradients in Figma (Linear, Radial, Angular, Diamond)
eZ3Rql0yhCw|||How To Create Mesh Gradients in Figma (Beginner Tutorial)
NDF834BAeK0|||Glassmorphism Effect in Figma (3 Min Tutorial)
0SzJOMS0RPA|||Figma to Website in MINUTES with this INSANE tool…
XEVzFakovu8|||NEW Figma Component Properties (Great Beta Update!!)
zFGG0tyLJtI|||15 Figma Shortcuts You NEED To Know About
dL-U6bkm0a0|||Apple’s Dynamic Island Animation in Figma (Beginner Tutorial)
WgbiGtPVm8Q|||Animated Dropdown Menu with Variants in Figma (2022 Update)
sybtdc4dYzE|||Master Responsive Grids (Rows & Columns) in Figma
ohF93_k3IMk|||You'll Regret NOT Using The 8pt Grid in Figma (UI/UX Beginner Tutorial)
vBuyR8uF380|||9 SECRETS To Beautiful Landing Page Design (Pt. 3: Desktop Workflow)
cmSBbnrFGPg|||9 SECRETS To Beautiful Landing Page Design (Pt. 2: Guiding Principles)
eeGVBhZURUI|||Figma Interactive Components For Beginners (2022 Tutorial)
RqxI6aODugE|||Advanced Smart Animate in Figma (Carousel, Loader & More)
thplNeqE9Tg|||Figma Smart Animate for Beginners (2022 Tutorial)
d78yo84tnfA|||Master Figma Pen Tool in 6 Minutes (Beginner Tutorial)
KamNFblohHc|||Masking in 4 Minutes (Figma Tutorial)
iaQ30m6gqhw|||Figma Component Properties made SIMPLE (Variants, Boolean, Text, Instance)
fJ36mS1NYDM|||The 8 Most Underrated Figma Plugins in 2022
3xGJ80UpVeM|||Figma Constraints & Resizing Made SIMPLE
RdHXcv1k_Dg|||9 SECRETS to BEAUTIFUL Landing Page Design (Pt. 1: The Setup)
Kf8L3CeiWzQ|||Master Figma Auto Layout in 10 Minutes (2022 Tutorial)
N0vlBuMggKc|||Hey! I'm Tim, and I'm here to teach you some design.
